id,name,department,role,email,phone,address,salary,bonus,performance_rating,number_of_working_days,project_name,project_status
60,Brian Nguyen Jr.,Marketing,Analyst,smallnicole@example.org,7957154516,"6994 Bennett Place Suite 675, Port Sheila, PR 27573",115433.91,1029.25,1,164,Re-Intermediate Transparent Markets,Ongoing
61,Vincent Jackson,Finance,Analyst,bowentimothy@example.org,(684)844-3024,"4680 Fisher Shore, Port Jessica, MA 39144",96331.71,6851.43,5,229,Envisioneer World-Class Architectures,Delayed
62,Jon Walters,IT,Manager,richard73@example.org,(300)601-4139,"01642 Barker Mountains, Lake Joe, MH 15943",46886.06,9815.97,5,205,Deploy Web-Enabled Methodologies,Delayed
63,Brandon Carter,Finance,Developer,mrobinson@example.com,3784132614,"5003 Christopher Circle, Port Melissa, VT 88783",98156.97,6111.46,1,155,Synergize Out-Of-The-Box Portals,Delayed
64,Mrs. Kendra Osborne,IT,Manager,matthewthompson@example.org,629.937.3118,"398 Day Mountain, Deniseside, IL 21883",66054.32,8785.7,2,249,Envisioneer World-Class Architectures,Delayed
65,Anna Durham,Finance,Manager,woodlaura@example.com,(721)705-5532x906,"9962 Joseph Branch Apt. 471, New Danamouth, PR 46180",113740.75,2284.84,2,236,Re-Intermediate Transparent Markets,Ongoing
66,Bobby Castaneda,Marketing,Intern,sabrinazimmerman@example.com,823.892.0013x460,"460 Orr Via Apt. 898, New Tim, LA 76972",112831.2,5471.99,2,200,Envisioneer World-Class Architectures,Delayed
67,Christopher Moore,IT,Developer,reginald51@example.org,449-338-5676,"345 Gaines Crescent Apt. 304, Melanieland, IL 63892",70655.52,2264.53,3,217,Envisioneer World-Class Architectures,Delayed
68,Marissa Fisher,IT,Intern,kristendiaz@example.org,+1-635-642-8706x784,"630 Edwards Junction, East Michael, PR 53738",63198.81,4356.32,1,219,Expedite E-Business Roi,Completed
69,Donna Lee,IT,Analyst,kyle65@example.org,001-965-467-6948x159,"276 Brenda Park Apt. 502, Port Anne, UT 31341",58318.06,5371.89,2,126,Expedite E-Business Roi,Completed
70,Misty Scott,IT,Manager,lorimills@example.org,(269)903-7722x267,"06096 Jillian Parks, Reyesmouth, CA 77021",81549.64,5213.7,5,179,Mesh Robust Vortals,Delayed
71,Steven Richardson,HR,Analyst,chad91@example.net,(460)576-6301,"838 Brown Plains Apt. 173, North Michaelburgh, PR 14046",63721.58,3004.92,4,151,Synergize Out-Of-The-Box Portals,Delayed
72,Charles Miller,HR,Developer,christophergarcia@example.com,+1-553-662-4974x075,"209 Rogers Walks Suite 214, West Katherinemouth, DE 97715",48076.49,2583.7,2,110,Expedite E-Business Roi,Completed
73,Melissa Jackson,Marketing,Analyst,gonzalesashley@example.net,303-949-7682x3011,"2399 Walters Dam, Brownborough, NE 61271",93627.16,4381.88,2,220,Re-Intermediate Transparent Markets,Ongoing
74,George Barnes,IT,Developer,ewong@example.net,2843172428,"887 Moore Cape Suite 573, Lake Trevor, CO 97706",41469.89,7329.78,3,187,Scale Clicks-And-Mortar Technologies,Delayed
75,Tiffany Diaz,Marketing,Intern,heatherlyons@example.com,215-462-1242,"1028 Victoria Ridge, Lake George, KY 20375",66789.63,5250.06,3,179,Re-Intermediate Transparent Markets,Ongoing
76,Marie Hayes,HR,Analyst,rbuckley@example.org,646.253.0807x35021,"27114 Fred Views, Port Victoria, IN 71011",109422.83,1149.27,3,125,Scale Clicks-And-Mortar Technologies,Delayed
77,Dr. Erin Kim MD,Finance,Intern,youngadam@example.net,001-268-576-1330x774,"USNV Garner, FPO AE 79970",75286.92,7340.69,2,198,Scale Clicks-And-Mortar Technologies,Delayed
78,Thomas Francis,Finance,Manager,rmays@example.com,724.202.3764x57129,"10417 Bradley Islands, Maciasburgh, RI 08415",96493.53,9695.29,5,248,Benchmark Virtual Architectures,Completed
79,Cynthia Morse,HR,Intern,william26@example.net,522-264-8823,"994 Mary Harbor, Port Robertside, OR 55736",57464.06,1237.58,4,238,Scale Clicks-And-Mortar Technologies,Delayed
80,Brandon Robinson,Finance,Analyst,vbaker@example.com,(597)871-8655x237,"161 Joseph Forge, Jenningstown, IN 83486",81004.84,3830.68,5,163,Scale Clicks-And-Mortar Technologies,Delayed
81,Elizabeth Taylor,IT,Manager,iklein@example.net,533-428-0194x073,"737 Jackson Fort Apt. 249, Nguyentown, AZ 61382",50084.92,6127.25,5,246,Scale Clicks-And-Mortar Technologies,Delayed
82,Austin Stokes,Marketing,Analyst,bonillajessica@example.org,794-802-9874,"378 White Hill, East Jason, GA 90846",47237.83,2784.31,3,111,Scale Clicks-And-Mortar Technologies,Delayed
83,Ronald Davidson,IT,Analyst,denisemurphy@example.net,383-922-7743,"5377 Wilkinson Summit, Kellyfurt, OK 43137",72748.72,3746.05,5,130,Synergize Out-Of-The-Box Portals,Delayed
84,Dana Sandoval,Marketing,Developer,dillontyler@example.org,2465493732,"1614 Jackson Shoals Suite 718, West Donaldton, AL 00793",43362.03,7280.96,2,211,Expedite E-Business Roi,Completed
85,Lisa Reyes,HR,Intern,petersontrevor@example.com,919.252.7530,"0252 Julie Greens, Payneberg, CA 70545",52208.17,3396.76,1,132,Streamline Next-Generation Content,Ongoing
86,Blake Collins,HR,Intern,lopezchelsey@example.org,910.602.8413x7342,"49654 Solis Square Apt. 461, Tateborough, AS 77230",64890.14,5245.58,4,128,Deploy Web-Enabled Methodologies,Delayed
87,Ross Johnson,HR,Analyst,lydia11@example.org,+1-455-654-8649x9556,"33378 Weber Walks Suite 501, Davidhaven, VI 94131",97322.36,4684.03,3,200,Expedite E-Business Roi,Completed
88,Kevin Warner,Marketing,Intern,david09@example.org,365.425.3276,"23441 Graham Greens Suite 719, Torresland, CA 42322",61648.33,6034.94,5,236,Re-Intermediate Transparent Markets,Ongoing
89,Lauren Nelson,Finance,Manager,michael22@example.net,345.750.1279x321,"9608 Grace Locks Apt. 996, South Robert, IA 92880",114111.89,8309.39,2,156,Synergize Integrated Portals,Ongoing
90,Kristen Smith,IT,Intern,richardlara@example.com,+1-343-883-9305,"472 Robert Gateway Suite 652, New Samantha, IA 53264",83546.54,6593.81,1,111,Re-Intermediate Transparent Markets,Ongoing
91,William Vincent,HR,Analyst,ssmith@example.net,357-488-4366x4819,"Unit 3830 Box 6810, DPO AA 56754",81754.2,9528.99,3,166,Scale Clicks-And-Mortar Technologies,Delayed
92,David Wilkins,Marketing,Manager,laurenjohnson@example.net,001-374-435-6797x5785,"9245 Donna Court, Port Adam, IN 49002",83903.8,4618.94,2,212,Scale Clicks-And-Mortar Technologies,Delayed
93,Jason Ortiz,IT,Developer,hbarker@example.org,475-978-2933,"83568 Vincent Ferry, New Elizabethhaven, NJ 05080",81673.09,4239.77,3,110,Mesh Robust Vortals,Delayed
94,James Moore,Marketing,Intern,smithelizabeth@example.org,301.942.8625,"3821 Franklin Drive, Laraview, KY 79676",74798.18,3589.24,1,232,Expedite E-Business Roi,Completed
95,Chelsea Edwards,IT,Analyst,april62@example.com,753.589.6132x499,"6800 Jacobson Ports Apt. 816, Johnsonport, IA 29737",60381.8,8689.92,3,249,Synergize Out-Of-The-Box Portals,Delayed
96,Lindsay Powell,Finance,Developer,jensencharles@example.com,296.736.5237x848,"42645 Dana Parks, Kiddmouth, ND 83687",42254.55,4582.64,5,152,Synergize Out-Of-The-Box Portals,Delayed
97,Brandon Cole,HR,Manager,ybrown@example.net,967-547-2168,"9769 Mcbride Valley Apt. 734, West Brenttown, FM 69352",100691.88,2447.95,1,151,Synergize Integrated Portals,Ongoing
98,Drew Weaver MD,HR,Intern,alejandrawyatt@example.org,259.569.7008x7059,"4928 Sean Fork, New Matthew, IN 29171",54508.82,7241.27,4,163,Streamline Next-Generation Content,Ongoing
99,Andrew Garrison,IT,Intern,riveradevon@example.com,+1-903-572-9681x9814,"355 Mason Parks, Fowlerside, AZ 99593",67054.45,9877.33,5,149,Benchmark Virtual Architectures,Completed
100,Benjamin Reynolds,Marketing,Manager,nbrown@example.org,240-440-5357,"886 Ashley Loaf Suite 970, Susanberg, NH 40342",100620.68,2956.9,2,133,Synergize Out-Of-The-Box Portals,Delayed
101,Lisa Marks,IT,Developer,sjohnson@example.com,(797)478-5753x4507,"25159 Lee Burg, Heatherport, OK 52882",71922.02,4984.98,4,198,Benchmark Virtual Architectures,Completed
102,Richard Patton,HR,Developer,cuevashoward@example.net,305-580-6310,"3446 Sean Springs Suite 372, Johnsonfurt, TX 63760",90516.76,8302.01,5,196,Mesh Robust Vortals,Delayed
103,Victor Benson,IT,Intern,qjohnson@example.com,421.846.0700,"498 Harris Avenue Apt. 749, Toddfurt, MA 48647",66557.65,3300.38,3,192,Synergize Integrated Portals,Ongoing
104,Patricia Watson,IT,Analyst,christywhite@example.net,001-607-685-7063x3686,"9829 Wilson Fort Suite 642, New Autumnstad, GU 01204",87875.76,8513.35,1,175,Benchmark Virtual Architectures,Completed
105,John Nielsen,IT,Intern,brittney26@example.org,+1-351-287-4351x4502,"85848 Johnson Mission, Gillview, KS 16770",46596.1,4263.93,1,232,Benchmark Virtual Architectures,Completed
106,Steven Harris,HR,Intern,lkeller@example.org,001-262-790-4571x348,"55485 Herring Bypass, South Rebeccaberg, KY 38893",67401.09,4586.28,2,121,Synergize Out-Of-The-Box Portals,Delayed
107,Debra Rodriguez,Finance,Manager,tonya12@example.org,523-214-2300x424,"338 Daniel Wall Suite 754, Bowenmouth, NM 53030",105972.86,5242.53,5,198,Scale Clicks-And-Mortar Technologies,Delayed
108,Bryan Collins,Finance,Developer,zfrancis@example.com,+1-333-937-6939x895,"689 Schroeder Plains Apt. 104, Port Karen, FM 73084",65554.5,6344.59,3,110,Benchmark Virtual Architectures,Completed
109,Jesse Conrad,Finance,Developer,angela80@example.net,001-345-693-6338x5780,"8807 Peterson Valleys, Banksshire, PR 70659",57507.8,6436.72,3,233,Mesh Robust Vortals,Delayed
110,Connor Heath,Marketing,Analyst,smithapril@example.net,6383580671,"679 Kendra Village, Johnsonmouth, MS 95623",92954.24,9440.57,3,245,Expedite E-Business Roi,Completed
111,Rebecca Mendoza,HR,Manager,richardramirez@example.com,+1-348-387-8395x459,"50062 Griffin Viaduct, North Jeffstad, TX 50568",50214.92,9196.54,2,217,Scale Clicks-And-Mortar Technologies,Delayed
112,Joseph Smith,IT,Manager,bsanford@example.net,(308)241-0337x60416,"22660 Cindy Ford Suite 445, Ramosberg, KY 04997",85004.46,6611.01,2,199,Re-Intermediate Transparent Markets,Ongoing
113,Kimberly Jones,IT,Intern,respinoza@example.com,001-854-710-5070x9924,"149 Wright Shores, North Michelleview, PA 64173",52331.09,4503.41,2,229,Deploy Web-Enabled Methodologies,Delayed
114,Stephen Adams,IT,Manager,yvettepowell@example.org,+1-574-979-5288x5429,"12089 Theresa Mountains Apt. 394, Annside, GU 32307",85651.41,3584.25,2,199,Expedite E-Business Roi,Completed
115,Monica Black,IT,Intern,smithalyssa@example.com,963.276.9230x8645,"Unit 1390 Box 8696, DPO AP 85675",60863.01,8975.47,3,162,Deploy Web-Enabled Methodologies,Delayed
116,Kevin Norris,HR,Manager,jordan26@example.com,4572841575,"553 Wright Street, Whiteport, GU 85874",83144.33,3156.85,5,189,Streamline Next-Generation Content,Ongoing
117,Robin Hernandez,IT,Analyst,eblair@example.net,988.875.3059,"387 Lee Key Apt. 853, New Mark, AZ 62709",92427.29,5973.34,3,106,Expedite E-Business Roi,Completed
118,Sara Whitaker,HR,Developer,cortezjessica@example.net,(543)279-0336x3927,"541 Rush Freeway Apt. 732, North Mary, GU 72014",117786.43,9357.85,1,175,Deploy Web-Enabled Methodologies,Delayed
119,Sarah Harris,HR,Developer,romantyler@example.net,(969)584-6182,"1445 Jones Station Suite 944, West Maryfurt, IA 13648",97901.82,2067.96,3,144,Benchmark Virtual Architectures,Completed
120,Stephen Nicholson,Marketing,Developer,becknicholas@example.org,786-594-4183x3649,"042 Felicia Mountains Apt. 114, West Rebecca, ME 41511",103362.62,5059.68,3,211,Synergize Integrated Portals,Ongoing
121,Curtis Gray,Marketing,Intern,ruthrodriguez@example.com,8796781739,"610 Vicki Square Apt. 851, North Victor, MH 27001",113315.84,2959.63,4,199,Scale Clicks-And-Mortar Technologies,Delayed
122,Christine Hill,Marketing,Analyst,andersondestiny@example.com,(826)818-0363x654,"9361 Roman Tunnel, North Heather, KS 43556",104883.23,7794.25,2,166,Streamline Next-Generation Content,Ongoing
123,Ryan Saunders,Marketing,Developer,raymondthomas@example.org,565-928-1738,"978 Rhodes Mount Apt. 487, Butlerhaven, MP 94454",66721.53,2955.04,3,200,Expedite E-Business Roi,Completed
124,Cassandra Lopez,IT,Analyst,mark41@example.org,565-662-9406x22731,"0853 Destiny Wells, Markhaven, DC 06375",70768.47,3290.47,2,246,Mesh Robust Vortals,Delayed
125,Angel Stone,Marketing,Intern,rushholly@example.net,4303885872,"47272 Graves Radial, Acostabury, NC 84511",42423.53,4796.81,2,172,Benchmark Virtual Architectures,Completed
126,Trevor Phillips MD,Finance,Manager,nicole75@example.net,611-691-0697x905,"20477 George Center, South Ericaport, DC 52104",40395.17,2384.59,2,172,Benchmark Virtual Architectures,Completed
127,William Flores,IT,Intern,matthew75@example.org,4968290839,"Unit 8347 Box 9470, DPO AA 61378",64567.15,1069.31,3,169,Re-Intermediate Transparent Markets,Ongoing
128,Casey Graham,Finance,Developer,troytaylor@example.net,(208)253-4234,"43537 Margaret Skyway Apt. 603, North Markmouth, IA 80076",53429.86,4900.75,2,125,Envisioneer World-Class Architectures,Delayed
129,Nathan Brooks,Finance,Manager,swilson@example.net,(297)883-2196,"0965 Gloria Plains Suite 203, Lake Cherylfurt, LA 26559",87587.09,2317.35,5,170,Deploy Web-Enabled Methodologies,Delayed
130,Thomas Rodriguez,HR,Intern,robertbanks@example.com,234.289.2750x392,"56601 Dustin Wells Apt. 855, Alicialand, WV 48854",113609.34,9398.79,4,170,Deploy Web-Enabled Methodologies,Delayed
131,Jesse Williams,HR,Manager,kvelez@example.com,(510)569-6283,"67417 Garcia Fall Suite 859, Davidmouth, VI 86869",112859.0,5271.78,1,118,Scale Clicks-And-Mortar Technologies,Delayed
132,Desiree Wood,Marketing,Intern,rscott@example.org,910-258-9667x3063,"31415 Brown Junctions Suite 408, Joshuaport, NY 80162",119603.18,7152.38,1,222,Synergize Out-Of-The-Box Portals,Delayed
133,Linda Mcgrath,Marketing,Developer,andersonmichael@example.net,632-890-0026x60922,"5119 Kathryn Path Suite 251, Hendersonshire, MP 82160",91479.68,8196.53,1,134,Mesh Robust Vortals,Delayed
134,Sara Cole,Finance,Developer,ryanhoward@example.com,908-808-6452x04785,"79860 Ashley Alley, Joshuaside, AL 70080",118451.85,7065.38,5,142,Re-Intermediate Transparent Markets,Ongoing
135,Keith Farmer,IT,Developer,holly42@example.com,+1-934-536-9786,"195 Mitchell Circles, South Michael, TN 80493",88937.89,7267.57,1,117,Expedite E-Business Roi,Completed
136,Roger Golden,IT,Manager,andrewjohnson@example.org,(724)995-1102,"65833 Scott Fall Suite 661, New Stephanie, NM 31867",117361.27,8069.33,3,108,Re-Intermediate Transparent Markets,Ongoing
137,Marcus Carr,Finance,Developer,william42@example.org,466.256.2098,"20951 Banks View Suite 925, South Nicoleborough, HI 95355",86108.46,8928.84,2,239,Envisioneer World-Class Architectures,Delayed
138,Lisa Hall,Marketing,Intern,shodge@example.com,394.210.4082x167,"2436 Jacqueline Extensions Suite 286, Skinnerview, VA 17560",118004.42,6572.25,1,246,Streamline Next-Generation Content,Ongoing
139,Jennifer Rios,IT,Manager,tracyscott@example.org,001-957-602-4519x580,"455 Adam Junction, Mckaystad, CT 53308",101519.89,8274.81,5,101,Mesh Robust Vortals,Delayed
140,Pamela Owens,HR,Developer,morrisonrobert@example.org,558.760.2941x8000,"9684 Rhonda Land, Francesshire, AS 55959",70220.36,2596.65,3,240,Synergize Out-Of-The-Box Portals,Delayed
141,Kristin Farley,Marketing,Developer,ycordova@example.org,324.782.7948x35209,"26256 Jesse Court Suite 389, Courtneyville, SD 01039",78975.72,6723.76,2,124,Envisioneer World-Class Architectures,Delayed
142,Mason Allen,Finance,Developer,denise34@example.com,001-959-701-4791x162,"USNV Smith, FPO AA 68207",44932.01,8013.75,4,103,Re-Intermediate Transparent Markets,Ongoing
143,Donna Hamilton,Finance,Intern,wsherman@example.com,001-953-414-9630,"65246 Hoffman Estate, South Jodi, CO 56063",85909.4,9961.85,1,205,Expedite E-Business Roi,Completed
